date,day_of_week,weather,menu_item,food_category,meal_time,amount_cooked_kg,amount_consumed_kg,food_waste_kg
2023-10-12,Thursday,Cloudy,Poha,Other,Breakfast,44.51,36.69,7.82
2023-10-13,Friday,Light Rain,Palak Paneer,Curry/Dal,Dinner,51.84,37.05,14.78
2023-10-13,Friday,Light Rain,Mix Veg,Dry Veg,Breakfast,57.17,46.88,10.29
2023-10-14,Saturday,Clear,Aloo Gobhi,Dry Veg,Dinner,55.25,32.04,23.21
2023-10-15,Sunday,Light Rain,Palak Paneer,Curry/Dal,Dinner,59.82,45.51,14.31
2023-10-15,Sunday,Light Rain,Poha,Other,Breakfast,44.95,33.01,11.94
2023-10-15,Sunday,Light Rain,Gulab Jamun,Dessert,Lunch,53.92,37.75,16.16
2023-10-16,Monday,Heavy Rain,Jeera Rice,Rice,Lunch,58.86,38.04,20.82
2023-10-17,Tuesday,Clear,Plain Roti,Bread/Roti,Dinner,55.68,46.51,9.18
2023-10-18,Wednesday,Clear,Dal Makhani,Curry/Dal,Dinner,50.75,43.13,7.62
2023-10-18,Wednesday,Clear,Mix Veg,Dry Veg,Breakfast,41.94,31.44,10.5
2023-10-19,Thursday,Clear,Aloo Gobhi,Dry Veg,Lunch,43.66,38.59,5.06
2023-10-19,Thursday,Clear,Jeera Rice,Rice,Lunch,51.7,47.49,4.21
2023-10-19,Thursday,Clear,Gulab Jamun,Dessert,Lunch,54.74,48.63,6.11
2023-10-20,Friday,Heavy Rain,Plain Roti,Bread/Roti,Breakfast,50.16,40.44,9.73
2023-10-20,Friday,Heavy Rain,Mix Veg,Dry Veg,Lunch,52.26,26.23,26.04
2023-10-20,Friday,Heavy Rain,Aloo Gobhi,Dry Veg,Lunch,41.6,25.32,16.28
2023-10-21,Saturday,Cloudy,Aloo Gobhi,Dry Veg,Dinner,52.7,29.29,23.41
2023-10-22,Sunday,Light Rain,Aloo Gobhi,Dry Veg,Lunch,44.82,25.63,19.2
2023-10-22,Sunday,Light Rain,Poha,Other,Lunch,50.21,32.23,17.98
2023-10-23,Monday,Cloudy,Gulab Jamun,Dessert,Dinner,58.79,53.23,5.56
2023-10-23,Monday,Cloudy,Poha,Other,Lunch,45.95,42.78,3.17
2023-10-24,Tuesday,Clear,Poha,Other,Breakfast,45.58,33.79,11.79
2023-10-24,Tuesday,Clear,Jeera Rice,Rice,Lunch,53.57,39.56,14.01
2023-10-24,Tuesday,Clear,Palak Paneer,Curry/Dal,Breakfast,45.36,32.26,13.1
2023-10-25,Wednesday,Cloudy,Gulab Jamun,Dessert,Lunch,59.69,46.51,13.18
2023-10-25,Wednesday,Cloudy,Poha,Other,Dinner,47.96,34.64,13.32
2023-10-25,Wednesday,Cloudy,Poha,Other,Dinner,47.12,43.86,3.27
2023-10-26,Thursday,Clear,Palak Paneer,Curry/Dal,Breakfast,46.63,38.11,8.52
2023-10-26,Thursday,Clear,Palak Paneer,Curry/Dal,Breakfast,48.71,36.53,12.18
2023-10-26,Thursday,Clear,Aloo Gobhi,Dry Veg,Dinner,59.41,53.1,6.31
2023-10-27,Friday,Clear,Palak Paneer,Curry/Dal,Lunch,45.67,35.21,10.46
2023-10-27,Friday,Clear,Gulab Jamun,Dessert,Lunch,41.54,30.61,10.93
2023-10-27,Friday,Clear,Plain Roti,Bread/Roti,Breakfast,56.8,46.38,10.42
2023-10-28,Saturday,Heavy Rain,Jeera Rice,Rice,Lunch,53.01,28.61,24.41
2023-10-28,Saturday,Heavy Rain,Aloo Gobhi,Dry Veg,Breakfast,49.94,23.52,26.42
2023-10-29,Sunday,Cloudy,Palak Paneer,Curry/Dal,Dinner,41.6,30.44,11.16
2023-10-29,Sunday,Cloudy,Dal Makhani,Curry/Dal,Dinner,53.78,38.33,15.45
2023-10-30,Monday,Cloudy,Palak Paneer,Curry/Dal,Dinner,58.86,47.37,11.49
2023-10-30,Monday,Cloudy,Palak Paneer,Curry/Dal,Breakfast,53.24,45.08,8.16
2023-10-31,Tuesday,Light Rain,Mix Veg,Dry Veg,Breakfast,42.46,35.69,6.77
2023-10-31,Tuesday,Light Rain,Mix Veg,Dry Veg,Dinner,41.9,28.95,12.95
2023-10-31,Tuesday,Light Rain,Jeera Rice,Rice,Dinner,55.17,48.62,6.55
2023-11-01,Wednesday,Clear,Dal Makhani,Curry/Dal,Dinner,40.85,36.16,4.69
2023-11-01,Wednesday,Clear,Mix Veg,Dry Veg,Dinner,44.17,29.39,14.78
2023-11-01,Wednesday,Clear,Mix Veg,Dry Veg,Breakfast,48.64,35.58,13.06
2023-11-02,Thursday,Heavy Rain,Aloo Gobhi,Dry Veg,Lunch,42.29,34.88,7.41
2023-11-02,Thursday,Heavy Rain,Jeera Rice,Rice,Lunch,52.27,33.63,18.64
2023-11-03,Friday,Clear,Jeera Rice,Rice,Breakfast,51.31,47.55,3.76
2023-11-03,Friday,Clear,Aloo Gobhi,Dry Veg,Lunch,43.85,40.99,2.86
2023-11-03,Friday,Clear,Jeera Rice,Rice,Dinner,53.37,45.82,7.55
2023-11-04,Saturday,Cloudy,Dal Makhani,Curry/Dal,Dinner,58.64,45.19,13.46
2023-11-05,Sunday,Clear,Plain Roti,Bread/Roti,Lunch,54.69,32.88,21.81
2023-11-05,Sunday,Clear,Jeera Rice,Rice,Dinner,49.91,38.31,11.6
2023-11-06,Monday,Cloudy,Plain Roti,Bread/Roti,Lunch,44.07,40.64,3.43
2023-11-06,Monday,Cloudy,Dal Makhani,Curry/Dal,Lunch,57.15,49.96,7.19
2023-11-06,Monday,Cloudy,Jeera Rice,Rice,Breakfast,51.69,36.85,14.84
2023-11-07,Tuesday,Clear,Mix Veg,Dry Veg,Breakfast,42.66,36.06,6.59
2023-11-08,Wednesday,Heavy Rain,Aloo Gobhi,Dry Veg,Lunch,49.85,35.67,14.18
2023-11-09,Thursday,Cloudy,Jeera Rice,Rice,Lunch,51.75,43.9,7.85
2023-11-09,Thursday,Cloudy,Poha,Other,Lunch,59.16,53.58,5.58
2023-11-09,Thursday,Cloudy,Plain Roti,Bread/Roti,Dinner,53.13,49.81,3.32
2023-11-10,Friday,Cloudy,Dal Makhani,Curry/Dal,Dinner,58.65,54.06,4.59
2023-11-10,Friday,Cloudy,Dal Makhani,Curry/Dal,Breakfast,52.39,48.41,3.98
2023-11-11,Saturday,Cloudy,Poha,Other,Lunch,54.8,42.21,12.59
2023-11-11,Saturday,Cloudy,Poha,Other,Lunch,43.28,29.98,13.29
2023-11-12,Sunday,Light Rain,Dal Makhani,Curry/Dal,Dinner,41.09,28.1,12.99
2023-11-12,Sunday,Light Rain,Dal Makhani,Curry/Dal,Lunch,56.22,37.61,18.6
2023-11-13,Monday,Cloudy,Jeera Rice,Rice,Dinner,40.73,31.83,8.9
2023-11-13,Monday,Cloudy,Gulab Jamun,Dessert,Dinner,58.61,52.51,6.11
2023-11-14,Tuesday,Cloudy,Gulab Jamun,Dessert,Dinner,44.29,36.22,8.06
2023-11-15,Wednesday,Clear,Palak Paneer,Curry/Dal,Breakfast,40.69,33.04,7.65
2023-11-15,Wednesday,Clear,Aloo Gobhi,Dry Veg,Dinner,44.16,38.17,5.99
2023-11-16,Thursday,Heavy Rain,Gulab Jamun,Dessert,Dinner,45.93,28.27,17.66
2023-11-16,Thursday,Heavy Rain,Jeera Rice,Rice,Lunch,43.14,27.89,15.25
2023-11-17,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,54.85,33.71,21.14
2023-11-17,Friday,Heavy Rain,Gulab Jamun,Dessert,Lunch,58.41,46.39,12.02
2023-11-17,Friday,Heavy Rain,Palak Paneer,Curry/Dal,Dinner,52.5,35.26,17.25
2023-11-18,Saturday,Cloudy,Mix Veg,Dry Veg,Breakfast,41.31,23.63,17.68
2023-11-18,Saturday,Cloudy,Plain Roti,Bread/Roti,Dinner,49.01,36.84,12.17
2023-11-19,Sunday,Cloudy,Plain Roti,Bread/Roti,Dinner,56.76,36.64,20.12
2023-11-20,Monday,Cloudy,Aloo Gobhi,Dry Veg,Dinner,57.54,51.54,6.0
2023-11-20,Monday,Cloudy,Poha,Other,Lunch,49.01,46.0,3.01
2023-11-21,Tuesday,Light Rain,Palak Paneer,Curry/Dal,Lunch,48.2,37.67,10.53
2023-11-21,Tuesday,Light Rain,Mix Veg,Dry Veg,Lunch,55.31,33.22,22.09
2023-11-21,Tuesday,Light Rain,Palak Paneer,Curry/Dal,Dinner,57.46,43.03,14.43
2023-11-22,Wednesday,Clear,Mix Veg,Dry Veg,Breakfast,48.65,34.42,14.23
2023-11-22,Wednesday,Clear,Dal Makhani,Curry/Dal,Dinner,44.58,39.57,5.01
2023-11-22,Wednesday,Clear,Gulab Jamun,Dessert,Breakfast,40.75,37.32,3.44
2023-11-23,Thursday,Light Rain,Mix Veg,Dry Veg,Dinner,51.64,34.77,16.87
2023-11-23,Thursday,Light Rain,Palak Paneer,Curry/Dal,Dinner,58.42,46.18,12.24
2023-11-24,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Breakfast,58.62,41.19,17.43
2023-11-24,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,51.78,32.2,19.58
2023-11-24,Friday,Heavy Rain,Jeera Rice,Rice,Breakfast,50.28,33.51,16.77
2023-11-25,Saturday,Light Rain,Jeera Rice,Rice,Lunch,44.3,31.04,13.26
2023-11-25,Saturday,Light Rain,Aloo Gobhi,Dry Veg,Breakfast,42.16,23.65,18.51
2023-11-26,Sunday,Clear,Aloo Gobhi,Dry Veg,Dinner,42.75,31.4,11.35
2023-11-26,Sunday,Clear,Jeera Rice,Rice,Dinner,41.37,30.82,10.55
2023-11-27,Monday,Cloudy,Plain Roti,Bread/Roti,Breakfast,50.99,42.0,9.0
2023-11-28,Tuesday,Light Rain,Gulab Jamun,Dessert,Lunch,59.05,55.08,3.96
2023-11-29,Wednesday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,55.91,35.38,20.53
2023-11-29,Wednesday,Heavy Rain,Jeera Rice,Rice,Breakfast,45.18,30.97,14.2
2023-11-29,Wednesday,Heavy Rain,Poha,Other,Lunch,58.38,45.25,13.13
2023-11-30,Thursday,Cloudy,Jeera Rice,Rice,Breakfast,55.16,52.21,2.95
2023-11-30,Thursday,Cloudy,Gulab Jamun,Dessert,Lunch,59.36,46.93,12.43
2023-12-01,Friday,Heavy Rain,Mix Veg,Dry Veg,Breakfast,51.53,34.62,16.9
2023-12-01,Friday,Heavy Rain,Palak Paneer,Curry/Dal,Dinner,46.36,32.6,13.76
2023-12-01,Friday,Heavy Rain,Aloo Gobhi,Dry Veg,Dinner,50.1,39.0,11.1
2023-12-02,Saturday,Light Rain,Dal Makhani,Curry/Dal,Breakfast,58.55,36.42,22.13
2023-12-02,Saturday,Light Rain,Gulab Jamun,Dessert,Dinner,40.78,28.61,12.18
2023-12-02,Saturday,Light Rain,Palak Paneer,Curry/Dal,Dinner,41.84,25.85,15.99
2023-12-03,Sunday,Light Rain,Plain Roti,Bread/Roti,Lunch,46.51,26.97,19.55
2023-12-04,Monday,Light Rain,Palak Paneer,Curry/Dal,Breakfast,52.56,41.88,10.67
2023-12-05,Tuesday,Heavy Rain,Poha,Other,Dinner,44.74,28.88,15.85
2023-12-06,Wednesday,Heavy Rain,Poha,Other,Breakfast,47.82,31.9,15.92
2023-12-07,Thursday,Light Rain,Palak Paneer,Curry/Dal,Dinner,49.84,35.97,13.86
2023-12-08,Friday,Heavy Rain,Mix Veg,Dry Veg,Dinner,43.17,24.49,18.68
2023-12-09,Saturday,Heavy Rain,Dal Makhani,Curry/Dal,Lunch,59.47,36.22,23.26
2023-12-10,Sunday,Heavy Rain,Plain Roti,Bread/Roti,Breakfast,44.92,29.02,15.9
2023-12-10,Sunday,Heavy Rain,Jeera Rice,Rice,Breakfast,44.88,26.76,18.12
2023-12-10,Sunday,Heavy Rain,Plain Roti,Bread/Roti,Breakfast,52.19,36.16,16.03
2023-12-11,Monday,Clear,Gulab Jamun,Dessert,Breakfast,51.18,47.79,3.4
2023-12-11,Monday,Clear,Plain Roti,Bread/Roti,Dinner,40.78,28.88,11.9
2023-12-12,Tuesday,Clear,Jeera Rice,Rice,Breakfast,55.95,40.45,15.5
2023-12-13,Wednesday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,48.61,39.25,9.35
2023-12-13,Wednesday,Heavy Rain,Dal Makhani,Curry/Dal,Breakfast,44.92,28.57,16.35
2023-12-13,Wednesday,Heavy Rain,Poha,Other,Dinner,43.79,27.8,16.0
2023-12-14,Thursday,Clear,Palak Paneer,Curry/Dal,Dinner,56.25,40.49,15.77
2023-12-14,Thursday,Clear,Plain Roti,Bread/Roti,Breakfast,46.34,36.57,9.78
2023-12-15,Friday,Clear,Palak Paneer,Curry/Dal,Lunch,50.81,41.29,9.51
2023-12-15,Friday,Clear,Poha,Other,Lunch,49.76,39.97,9.79
2023-12-16,Saturday,Light Rain,Dal Makhani,Curry/Dal,Dinner,44.4,33.33,11.07
2023-12-16,Saturday,Light Rain,Plain Roti,Bread/Roti,Lunch,45.66,35.86,9.8
2023-12-16,Saturday,Light Rain,Dal Makhani,Curry/Dal,Dinner,52.77,37.88,14.9
2023-12-17,Sunday,Clear,Poha,Other,Lunch,56.3,31.96,24.34
2023-12-17,Sunday,Clear,Mix Veg,Dry Veg,Dinner,48.25,31.14,17.11
2023-12-18,Monday,Light Rain,Aloo Gobhi,Dry Veg,Lunch,58.46,54.35,4.11
2023-12-19,Tuesday,Clear,Aloo Gobhi,Dry Veg,Dinner,43.39,30.72,12.67
2023-12-19,Tuesday,Clear,Dal Makhani,Curry/Dal,Dinner,54.6,49.01,5.59
2023-12-20,Wednesday,Clear,Aloo Gobhi,Dry Veg,Dinner,50.7,42.44,8.27
2023-12-20,Wednesday,Clear,Plain Roti,Bread/Roti,Breakfast,57.32,41.24,16.08
2023-12-21,Thursday,Cloudy,Palak Paneer,Curry/Dal,Dinner,46.18,42.83,3.35
2023-12-21,Thursday,Cloudy,Gulab Jamun,Dessert,Breakfast,40.44,30.24,10.21
2023-12-22,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Breakfast,57.44,48.61,8.82
2023-12-22,Friday,Heavy Rain,Poha,Other,Lunch,49.11,40.61,8.5
2023-12-23,Saturday,Light Rain,Aloo Gobhi,Dry Veg,Breakfast,57.9,42.94,14.96
2023-12-24,Sunday,Light Rain,Palak Paneer,Curry/Dal,Lunch,46.08,29.86,16.22
2023-12-25,Monday,Cloudy,Dal Makhani,Curry/Dal,Dinner,45.84,38.49,7.35
2023-12-25,Monday,Cloudy,Poha,Other,Breakfast,41.6,33.66,7.93
2023-12-25,Monday,Cloudy,Jeera Rice,Rice,Dinner,57.67,48.46,9.22
2023-12-26,Tuesday,Cloudy,Mix Veg,Dry Veg,Lunch,55.83,38.62,17.22
2023-12-27,Wednesday,Cloudy,Aloo Gobhi,Dry Veg,Lunch,49.02,41.57,7.45
2023-12-28,Thursday,Clear,Palak Paneer,Curry/Dal,Breakfast,43.72,30.76,12.96
2023-12-29,Friday,Light Rain,Mix Veg,Dry Veg,Lunch,49.16,38.42,10.74
2023-12-30,Saturday,Heavy Rain,Palak Paneer,Curry/Dal,Lunch,54.2,29.2,25.0
2023-12-30,Saturday,Heavy Rain,Aloo Gobhi,Dry Veg,Lunch,55.76,33.58,22.18
2023-12-30,Saturday,Heavy Rain,Mix Veg,Dry Veg,Lunch,41.64,17.5,24.14
2023-12-31,Sunday,Heavy Rain,Jeera Rice,Rice,Dinner,40.22,22.57,17.65
2023-12-31,Sunday,Heavy Rain,Gulab Jamun,Dessert,Dinner,54.42,32.06,22.35
2023-12-31,Sunday,Heavy Rain,Gulab Jamun,Dessert,Breakfast,58.14,27.29,30.85
2024-01-01,Monday,Heavy Rain,Aloo Gobhi,Dry Veg,Lunch,51.11,38.64,12.48
2024-01-01,Monday,Heavy Rain,Gulab Jamun,Dessert,Breakfast,50.85,33.36,17.49
2024-01-02,Tuesday,Clear,Gulab Jamun,Dessert,Lunch,59.27,54.28,4.99
2024-01-02,Tuesday,Clear,Plain Roti,Bread/Roti,Dinner,53.6,37.88,15.72
2024-01-02,Tuesday,Clear,Aloo Gobhi,Dry Veg,Lunch,46.92,33.34,13.59
2024-01-03,Wednesday,Heavy Rain,Gulab Jamun,Dessert,Breakfast,45.2,27.3,17.9
2024-01-04,Thursday,Light Rain,Gulab Jamun,Dessert,Breakfast,43.94,40.09,3.85
2024-01-04,Thursday,Light Rain,Palak Paneer,Curry/Dal,Breakfast,57.58,47.06,10.52
2024-01-05,Friday,Light Rain,Jeera Rice,Rice,Dinner,54.1,51.38,2.71
2024-01-05,Friday,Light Rain,Plain Roti,Bread/Roti,Breakfast,40.55,35.3,5.25
2024-01-05,Friday,Light Rain,Gulab Jamun,Dessert,Dinner,56.02,39.61,16.42
2024-01-06,Saturday,Heavy Rain,Aloo Gobhi,Dry Veg,Breakfast,47.87,22.18,25.69
2024-01-07,Sunday,Cloudy,Gulab Jamun,Dessert,Dinner,41.51,31.96,9.55
2024-01-07,Sunday,Cloudy,Poha,Other,Lunch,49.58,28.59,20.99
2024-01-07,Sunday,Cloudy,Palak Paneer,Curry/Dal,Lunch,44.22,30.38,13.84
2024-01-08,Monday,Light Rain,Gulab Jamun,Dessert,Breakfast,46.28,40.3,5.98
2024-01-08,Monday,Light Rain,Gulab Jamun,Dessert,Lunch,43.86,39.26,4.6
2024-01-09,Tuesday,Light Rain,Plain Roti,Bread/Roti,Dinner,45.31,32.58,12.72
2024-01-09,Tuesday,Light Rain,Palak Paneer,Curry/Dal,Breakfast,54.15,40.85,13.3
2024-01-10,Wednesday,Heavy Rain,Plain Roti,Bread/Roti,Lunch,59.32,37.56,21.76
2024-01-10,Wednesday,Heavy Rain,Aloo Gobhi,Dry Veg,Dinner,59.54,38.1,21.43
2024-01-10,Wednesday,Heavy Rain,Mix Veg,Dry Veg,Lunch,42.01,30.9,11.12
2024-01-11,Thursday,Clear,Mix Veg,Dry Veg,Breakfast,53.91,44.18,9.73
2024-01-12,Friday,Cloudy,Plain Roti,Bread/Roti,Breakfast,40.92,31.11,9.81
2024-01-13,Saturday,Light Rain,Mix Veg,Dry Veg,Lunch,52.32,25.26,27.06
2024-01-13,Saturday,Light Rain,Mix Veg,Dry Veg,Breakfast,55.33,28.3,27.04
2024-01-13,Saturday,Light Rain,Gulab Jamun,Dessert,Dinner,47.3,35.47,11.83
2024-01-14,Sunday,Heavy Rain,Jeera Rice,Rice,Lunch,54.57,35.72,18.85
2024-01-14,Sunday,Heavy Rain,Jeera Rice,Rice,Lunch,46.17,24.53,21.64
2024-01-14,Sunday,Heavy Rain,Aloo Gobhi,Dry Veg,Breakfast,43.22,28.26,14.95
2024-01-15,Monday,Light Rain,Aloo Gobhi,Dry Veg,Dinner,44.02,40.44,3.58
2024-01-15,Monday,Light Rain,Dal Makhani,Curry/Dal,Dinner,43.68,32.01,11.66
2024-01-16,Tuesday,Light Rain,Palak Paneer,Curry/Dal,Dinner,48.47,35.75,12.71
2024-01-16,Tuesday,Light Rain,Aloo Gobhi,Dry Veg,Lunch,49.2,40.55,8.65
2024-01-17,Wednesday,Clear,Gulab Jamun,Dessert,Dinner,44.46,38.21,6.24
2024-01-18,Thursday,Clear,Aloo Gobhi,Dry Veg,Dinner,56.52,50.96,5.56
2024-01-18,Thursday,Clear,Jeera Rice,Rice,Lunch,54.96,52.18,2.79
2024-01-19,Friday,Cloudy,Aloo Gobhi,Dry Veg,Breakfast,57.72,50.87,6.85
2024-01-19,Friday,Cloudy,Palak Paneer,Curry/Dal,Dinner,51.74,37.75,13.99
2024-01-19,Friday,Cloudy,Dal Makhani,Curry/Dal,Lunch,46.42,37.49,8.94
2024-01-20,Saturday,Clear,Gulab Jamun,Dessert,Dinner,56.95,32.04,24.9
2024-01-20,Saturday,Clear,Aloo Gobhi,Dry Veg,Breakfast,53.57,31.12,22.45
2024-01-20,Saturday,Clear,Palak Paneer,Curry/Dal,Breakfast,52.65,37.51,15.14
2024-01-21,Sunday,Light Rain,Dal Makhani,Curry/Dal,Dinner,45.86,35.64,10.21
2024-01-21,Sunday,Light Rain,Jeera Rice,Rice,Breakfast,48.11,34.09,14.02
2024-01-22,Monday,Light Rain,Mix Veg,Dry Veg,Dinner,49.3,34.11,15.19
2024-01-22,Monday,Light Rain,Palak Paneer,Curry/Dal,Dinner,52.71,41.15,11.57
2024-01-23,Tuesday,Cloudy,Aloo Gobhi,Dry Veg,Breakfast,55.33,46.11,9.22
2024-01-24,Wednesday,Heavy Rain,Plain Roti,Bread/Roti,Breakfast,59.25,49.81,9.44
2024-01-24,Wednesday,Heavy Rain,Mix Veg,Dry Veg,Dinner,51.71,27.29,24.42
2024-01-25,Thursday,Heavy Rain,Palak Paneer,Curry/Dal,Dinner,58.61,38.97,19.64
2024-01-25,Thursday,Heavy Rain,Poha,Other,Lunch,48.66,41.27,7.39
2024-01-25,Thursday,Heavy Rain,Jeera Rice,Rice,Breakfast,44.22,32.04,12.18
2024-01-26,Friday,Clear,Poha,Other,Breakfast,56.96,43.52,13.43
2024-01-27,Saturday,Clear,Aloo Gobhi,Dry Veg,Dinner,50.3,35.31,15.0
2024-01-27,Saturday,Clear,Mix Veg,Dry Veg,Dinner,45.27,22.9,22.36
2024-01-27,Saturday,Clear,Dal Makhani,Curry/Dal,Breakfast,42.94,25.18,17.76
2024-01-28,Sunday,Light Rain,Mix Veg,Dry Veg,Breakfast,43.89,26.19,17.7
2024-01-29,Monday,Cloudy,Gulab Jamun,Dessert,Lunch,49.22,35.55,13.67
2024-01-29,Monday,Cloudy,Aloo Gobhi,Dry Veg,Breakfast,56.39,41.6,14.79
2024-01-30,Tuesday,Clear,Plain Roti,Bread/Roti,Lunch,42.28,34.55,7.73
2024-01-31,Wednesday,Cloudy,Palak Paneer,Curry/Dal,Dinner,53.08,47.75,5.34
2024-01-31,Wednesday,Cloudy,Jeera Rice,Rice,Dinner,54.36,49.41,4.96
2024-01-31,Wednesday,Cloudy,Aloo Gobhi,Dry Veg,Lunch,58.87,48.69,10.18
2024-02-01,Thursday,Clear,Poha,Other,Dinner,45.14,38.03,7.12
2024-02-01,Thursday,Clear,Aloo Gobhi,Dry Veg,Lunch,40.39,30.84,9.55
2024-02-01,Thursday,Clear,Mix Veg,Dry Veg,Dinner,43.66,32.61,11.05
2024-02-02,Friday,Cloudy,Jeera Rice,Rice,Dinner,53.03,39.63,13.4
2024-02-02,Friday,Cloudy,Dal Makhani,Curry/Dal,Breakfast,50.11,41.26,8.85
2024-02-03,Saturday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,40.29,21.76,18.54
2024-02-03,Saturday,Heavy Rain,Plain Roti,Bread/Roti,Lunch,40.79,24.88,15.91
2024-02-04,Sunday,Light Rain,Gulab Jamun,Dessert,Breakfast,54.47,32.22,22.25
2024-02-04,Sunday,Light Rain,Poha,Other,Lunch,41.68,28.35,13.33
2024-02-05,Monday,Cloudy,Gulab Jamun,Dessert,Dinner,51.2,41.25,9.94
2024-02-06,Tuesday,Clear,Gulab Jamun,Dessert,Breakfast,52.37,37.56,14.81
2024-02-07,Wednesday,Clear,Plain Roti,Bread/Roti,Breakfast,41.79,38.45,3.34
2024-02-07,Wednesday,Clear,Palak Paneer,Curry/Dal,Lunch,59.46,53.43,6.03
2024-02-08,Thursday,Cloudy,Dal Makhani,Curry/Dal,Dinner,44.84,34.39,10.45
2024-02-08,Thursday,Cloudy,Jeera Rice,Rice,Dinner,51.42,46.54,4.88
2024-02-09,Friday,Clear,Jeera Rice,Rice,Lunch,49.04,45.16,3.88
2024-02-09,Friday,Clear,Mix Veg,Dry Veg,Lunch,55.61,46.58,9.04
2024-02-09,Friday,Clear,Mix Veg,Dry Veg,Lunch,40.88,32.57,8.31
2024-02-10,Saturday,Clear,Plain Roti,Bread/Roti,Dinner,50.79,34.76,16.02
2024-02-10,Saturday,Clear,Poha,Other,Lunch,56.07,40.62,15.45
2024-02-11,Sunday,Cloudy,Dal Makhani,Curry/Dal,Breakfast,40.58,27.91,12.67
2024-02-12,Monday,Heavy Rain,Jeera Rice,Rice,Breakfast,42.98,34.7,8.28
2024-02-13,Tuesday,Light Rain,Mix Veg,Dry Veg,Breakfast,51.72,37.66,14.06
2024-02-13,Tuesday,Light Rain,Poha,Other,Lunch,46.03,32.7,13.33
2024-02-14,Wednesday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,48.3,39.05,9.25
2024-02-14,Wednesday,Heavy Rain,Mix Veg,Dry Veg,Dinner,46.31,28.48,17.83
2024-02-15,Thursday,Clear,Jeera Rice,Rice,Breakfast,42.47,31.17,11.3
2024-02-16,Friday,Cloudy,Dal Makhani,Curry/Dal,Breakfast,49.96,36.4,13.56
2024-02-17,Saturday,Heavy Rain,Gulab Jamun,Dessert,Lunch,51.57,35.29,16.28
2024-02-17,Saturday,Heavy Rain,Gulab Jamun,Dessert,Lunch,45.68,21.92,23.76
2024-02-18,Sunday,Cloudy,Gulab Jamun,Dessert,Dinner,51.83,41.27,10.56
2024-02-18,Sunday,Cloudy,Mix Veg,Dry Veg,Breakfast,43.06,22.78,20.27
2024-02-19,Monday,Cloudy,Jeera Rice,Rice,Lunch,53.05,43.21,9.84
2024-02-19,Monday,Cloudy,Poha,Other,Dinner,51.41,42.93,8.48
2024-02-19,Monday,Cloudy,Plain Roti,Bread/Roti,Dinner,56.41,48.41,7.99
2024-02-20,Tuesday,Clear,Gulab Jamun,Dessert,Lunch,59.43,48.84,10.59
2024-02-20,Tuesday,Clear,Gulab Jamun,Dessert,Dinner,42.44,34.28,8.15
